Лист,Документ,Рік,НП,Коментар
1,метрична книга,1770,,"""войсковой казеной слободы"""
2-10,сповидний розпис,1770,Безлюдовка,
10-18,сповидний розпис,,Грицевая,
18-21,метрична книга,1772,Харьков ?,
21-23,метрична книга,1770,Журавное,
23-24,метрична книга,1770,Алешня,
25,сповидний розпис,,,Покровская церковь
26-34,сповидний розпис,,Безлюдовка,
34,метрична книга,1770,местечко Соколово,
35,сповидний розпис,1771,,титул. священник Феодор Иосифов
36-49,сповидний розпис,,х. Гра** Криница,Межирицкое ведомство
49-57,сповидний розпис,1771,город Лебедин,
58,сповидний розпис,1771,слобода Лебедин,титул
59-72,сповидний розпис,1771,село Пристайлово ?,
73-84,сповидний розпис,,село Луциковка,
85-95,сповидний розпис,1772,слобода Красный кут,
96-98,сповидний розпис,1772,,свящ. Григорий Данилов Голованевской
98-103,сповидний розпис,1772,,свящ. Марк Трофимов
103-119,сповидний розпис,1772,слобода Городищанская ?,Воронежская епархия
120-134,сповидний розпис,,,Вознесенская церковь
135,екстракт сповидного розпису,,,Николаевская церковь
136-158,сповидний розпис,1772,слобода Покровская,
158-169,сповидний розпис,,слобода Покровская,
169-175,сповидний розпис,,,войсковой слободы
175-183,сповидний розпис,,,Богодуховского ведомства слободы ...
183-205,сповидний розпис,1772,слобода Сенная,
205-220,сповидний розпис,,слобода Сенная,Троецкая церковь
221-235,сповидний розпис,1772,слобода Сенная,
236-238,сповидний розпис,1772,,свящ. Каленик Лаврентиев
238-264,сповидний розпис,1772,слободы Тору ?,свящ. Илья Никитин Иляшев
265-282,сповидний розпис,,село Искрицковщина ?,церковь Великомученицы Варвары
283-288,метрична книга,1773,слобода Речки,
289-294,метрична книга,1773,слобода Речки,
295-298,метрична книга,1773,село Новомлинское,
300,метрична книга,1773,село Боровеньки,остання сторинка книги
301-313,сповидний розпис,1773,село Бобрик,
314,метрична книга,1774,село Боровеньки,
315-316,метрична книга,1774,село Боровеньки,
317-319,метрична книга,1773,,Охтирка ?
320-324,метрична книга,1773,город Ахтырка,
325-334,метрична книга,1773,город Ахтырка,
335-338,метрична книга,1773,город Ахтырка,
339,список церков,1773,,
340,доношение,,,
341-344,метрична книга,1773,город Ахтырка,
345-347,метрична книга,1773,город Ахтырка,
347-349,метрична книга,1773,,свящ. Базилевич
349-353,метрична книга,1773,село Гусинка,
353-355,метрична книга,1773,село Староивановское,
355-357,метрична книга,1773,село Журавное,
357-363,метрична книга,1773,село Чернетчина,
364-366,метрична книга,1773,село Лутищи,
366-368,метрична книга,1773,слобода Хухра,
369-372,метрична книга,1773,слобода Бакиревка,
373-377,метрична книга,1773,слобода Кириковка,
378-379,метрична книга,1773,пригородок Алешня,
379-381,метрична книга,1773,пригородок Алешня,
381-383,метрична книга,1773,пригородок Алешня,
383-385,метрична книга,1773,пригородок Алешня,
386,метрична книга,1773,,
387-389,метрична книга,1773,слобода Алешня,
390-392,метрична книга,1773,село Ясеновое,
392-395,метрична книга,1773,слобода Чупаховка,
396-398,метрична книга,1773,слобода Чупаховка,
398,метрична книга,1773,слобода Мартиновка,
399,метрична книга,1773,слобода Мартиновка,
400-403,метрична книга,1773,слобода Мартиновка,
404-405,метрична книга,1773,село Протопоповка,
406-407,метрична книга,1773,Лантратовка,
408,метрична книга,1773,,
409-411,метрична книга,1773,,Николаевская церковь
